Player,Team,Pos,Injury,Status,Est. Return
Devin Ceaser,Maryland-Baltimore County,G,Undisclosed,Out,Subscribers Only
Myles Che,UNLV,G,Foot,Out For Season,Subscribers Only
Jeremiah Cherry,Sacramento State,F,Leg,Out,Subscribers Only
Malcolm Chimezie,Boston University,F,Knee,Out,Subscribers Only
Gai Chol,Mississippi State,C,Knee,Out For Season,Subscribers Only
TJ Clark,Mississippi,G,Not Injury Related,Out For Season,Subscribers Only
Desmond Claude,Washington,G,Ankle,Out For Season,Subscribers Only
Chase Clemmons,Kennesaw State,G,Undisclosed,Out For Season,Subscribers Only
Noah Collier,La Salle,F,Undisclosed,Game Time Decision,Subscribers Only
Zaon Collins,Fresno State,G,Calf,Game Time Decision,Subscribers Only
Frankie Collins,Vanderbilt,G,Knee,Out For Season,Subscribers Only
Andrew Cook,Eastern Washington,G,Ankle,Out For Season,Subscribers Only
Davin Cosby,Kennesaw State,G,Undisclosed,Out For Season,Subscribers Only
Simeon Cottle,Kennesaw State,G,Suspension,Out,Subscribers Only
Pierre Couisnard,Wichita State,G,Redshirt,Out For Season,Subscribers Only
Tanner Cuff,Hawaii,G,Knee,Out For Season,Subscribers Only
Brandin Cummings,Pittsburgh,G,Ankle,Out For Season,Subscribers Only
Joao Das Chagas,UAB,C,Wrist,Game Time Decision,Subscribers Only
Blake Davidson,Clemson,F,Redshirt,Out For Season,Subscribers Only
Amsal Delalic,DePaul,G,Knee,Out For Season,Subscribers Only
Eli DeLaurier,East Carolina,F,Undisclosed,Game Time Decision,Subscribers Only
Ege Demir,Oregon,C,Shoulder,Out For Season,Subscribers Only
Jerry Deng,North Carolina State,F,Redshirt,Out For Season,Subscribers Only
Malick Diallo,TCU,C,Knee,Out For Season,Subscribers Only
Amarion Dickerson,USC,F,Hip,Game Time Decision,Subscribers Only
Daylon Dickerson,Maryland-Baltimore County,F,Undisclosed,Out,Subscribers Only
Aleksa Dimitrijevic,Creighton,C,Redshirt,Out For Season,Subscribers Only
Chudi Dioramma,Arkansas State,F,Ankle,Out,Subscribers Only
David Douglas,Fresno State,G,Knee,Game Time Decision,Subscribers Only
Danilo Dozic,Pepperdine,C,Undisclosed,Game Time Decision,Subscribers Only
Jason Drake,Indiana,G,Toe,Out,Subscribers Only
Reid Ducharme,Siena,F,Shoulder,Out,Subscribers Only
Jason Edwards,Providence,G,Foot,Game Time Decision,Subscribers Only
Sean Elkinton,Louisiana-Lafayette,F,Foot,Out For Season,Subscribers Only
Mason Ellison,Delaware,G,Thumb,Out,Subscribers Only
Godswill Erheriene,Seton Hall,C,Knee,Game Time Decision,Subscribers Only
Ilia Ermakov,St. Bonaventure,G,Ankle,Out,Subscribers Only
Connor Essegian,Nebraska,G,Ankle,Out For Season,Subscribers Only
Baye Fall,Rutgers,C,Hand,Out,Subscribers Only
Parsa Fallah,Oklahoma State,F,Knee,Out For Season,Subscribers Only
Babacar Faye,Utah,F,Leg,Out For Season,Subscribers Only
Jahseem Felton,Seton Hall,G,Knee,Out For Season,Subscribers Only
Christian Fermin,VCU,F,Personal,Out,Subscribers Only
Jason Fontenet,Cal-Santa Barbara,G,Hip,Out,Subscribers Only
Jaxson Ford,Sam Houston,F,Undisclosed,Out For Season,Subscribers Only
Dominique Ford,San Diego,G,Undisclosed,Game Time Decision,Subscribers Only
Zac Foster,Clemson,G,Knee,Out For Season,Subscribers Only
Austin Foxwell,Portland,G,Not Injury Related,Out For Season,Subscribers Only
Owen Foxwell,Louisiana State,G,Not Injury Related,Out For Season,Subscribers Only
Major Freeman,UNC-Charlotte,G,Undisclosed,Out,Subscribers Only
Daniel Freitag,Buffalo,G,Undisclosed,Out,Subscribers Only
Timo George,Portland,F,Shoulder,Out For Season,Subscribers Only
Gvidas Gicevicius,Florida International,F,Undisclosed,Out For Season,Subscribers Only
Kaleb Glenn,Michigan State,F,Knee,Out For Season,Subscribers Only
David Gomez,UNC-Charlotte,F,Undisclosed,Out,Subscribers Only
Kristian Gonzalez,Idaho,G,Undisclosed,Out,Subscribers Only
Jaden Goodall,San Jose State,F,Undisclosed,Out,Subscribers Only
Pasha Goodarzi,San Jose State,G,Undisclosed,Out,Subscribers Only
Tasman Goodrick,Siena,F,Knee,Out For Season,Subscribers Only
D'Arrae Goodwin,San Diego,F,Undisclosed,Game Time Decision,Subscribers Only
King Grace,Mississippi State,G,Foot,Game Time Decision,Subscribers Only
De'Ante Green,South Florida,F,Achilles,Out For Season,Subscribers Only
Zyair Greene,Indiana State,G,Undisclosed,Game Time Decision,Subscribers Only
Reggie Grodin,Penn State,G,Redshirt,Out For Season,Subscribers Only
Josue Grullon,La Salle,G,Undisclosed,Game Time Decision,Subscribers Only
Donald Hand,Boston College,G,Knee,Game Time Decision,Subscribers Only
JaVaughn Hannah,San Jose State,G,Calf,Out,Subscribers Only
Amani Hansberry,Virginia Tech,F,Undisclosed,Game Time Decision,Subscribers Only
Ashton Hardaway,Memphis,F,Calf,Out,Subscribers Only
Jaylen Harrell,Providence,G,Knee,Game Time Decision,Subscribers Only
Elzie Harrington,San Diego State,G,Lower Leg,Out,Subscribers Only
Jared Harris,Wyoming,G,Toe,Out,Subscribers Only
Dominick Harris,Loyola-Chicago,G,Undisclosed,Out,Subscribers Only
Josiah Harris,Cleveland State,F,Concussion,Game Time Decision,Subscribers Only
Josh Harris,Indiana,F,Foot,Out,Subscribers Only
DeShawn Harris-Smith,Georgetown,G,Personal,Out For Season,Subscribers Only
Carlos Hart,Eastern Michigan,G,Suspension,Out,Subscribers Only
Braydon Hawthorne,Kentucky,F,Redshirt,Out For Season,Subscribers Only
Jalen Haynes,Cincinnati,F,Knee,Out For Season,Subscribers Only
Miles Heide,San Diego State,F,Wrist,Out,Subscribers Only
Myles Herro,Ohio State,G,Redshirt,Out For Season,Subscribers Only
Fatt Hill,George Mason,G,Ankle,Game Time Decision,Subscribers Only
CJ Hines,Temple,G,Not Injury Related,Out,Subscribers Only
Dallas Hobbs,Rice,G,Undisclosed,Game Time Decision,Subscribers Only
Matthew Hodge,Villanova,F,Knee,Out For Season,Subscribers Only
Adante' Holiman,Arizona State,G,Elbow,Out For Season,Subscribers Only
LaTrell Hoover,Texas Tech,F,Redshirt,Out For Season,Subscribers Only
Kymany Houinsou,Loyola-Chicago,G,Undisclosed,Out,Subscribers Only
Tyler Houser,Delaware,C,Undisclosed,Out For Season,Subscribers Only
Jax Howard,Middle Tennessee St.,G,Undisclosed,Out,Subscribers Only
Aaron Hunkin-Claytor,Hawaii,G,Toe,Out For Season,Subscribers Only
Keiveon Hunt,Jackson State,G,Knee,Out For Season,Subscribers Only
Joe Hurlburt,Davidson,C,Undisclosed,Game Time Decision,Subscribers Only
Jovan Icitovic,Arizona State,F,Redshirt,Out For Season,Subscribers Only
Moek Icke,Rhode Island,C,Redshirt,Out For Season,Subscribers Only
Andre Iguodala II,Baylor,G,Redshirt,Out For Season,Subscribers Only
Mobi Ikegwuruka,Kansas State,G,Personal,Game Time Decision,Subscribers Only
Sam Imade,Air Force,F,Undisclosed,Game Time Decision,Subscribers Only
Evan Ipsaro,Miami (OH),G,Knee,Out For Season,Subscribers Only
Dishon Jackson,Pittsburgh,C,Undisclosed,Out For Season,Subscribers Only
Jalen Jackson,Butler,G,Ankle,Out For Season,Subscribers Only
Bryce Jackson,Houston,G,Redshirt,Out For Season,Subscribers Only
Jason Jakstys,Illinois,C,Shoulder,Out For Season,Subscribers Only
Ugnius Jarusevicius,Nebraska,F,Back,Out,Subscribers Only
Kordel Jefferson,Houston,G,Knee,Out For Season,Subscribers Only
Will Jeffress,Louisiana Tech,F,Knee,Out For Season,Subscribers Only
Troy Jenkins,Fresno State,G,Undisclosed,Game Time Decision,Subscribers Only
Robert Jennings,Oklahoma State,F,Hip,Out For Season,Subscribers Only
